alpha,beta,gamma,mean_lambda2,partition_rate
0.15000000000000002,0.4,0.07500000000000001,0.791133952903889,0.0
0.15000000000000002,0.4,0.1,0.8170952696252659,0.0
0.15000000000000002,0.4,0.125,0.7990225556979483,0.0
0.15000000000000002,0.4,0.15000000000000002,0.7946404667412474,0.0
0.15000000000000002,0.4,0.17500000000000004,0.798635689635116,0.0
0.15000000000000002,0.4,0.2,0.8316219110871268,0.0
0.2,0.1,0.05,0.8297795238698232,0.0
0.2,0.1,0.07500000000000001,0.8319470748144773,0.0
0.2,0.1,0.1,0.8017684567726345,0.0
0.2,0.1,0.125,0.8068741894618635,0.0
0.2,0.1,0.15000000000000002,0.8208506066696956,0.0
0.2,0.1,0.17500000000000004,0.8295407132844206,0.0
0.2,0.1,0.2,0.7880141356482216,0.0
0.2,0.15000000000000002,0.05,0.7976365143719523,0.0
0.2,0.15000000000000002,0.07500000000000001,0.8147104253409302,0.0
0.2,0.15000000000000002,0.1,0.8278180347562517,0.0
0.2,0.15000000000000002,0.125,0.8184860409657572,0.0
0.2,0.15000000000000002,0.15000000000000002,0.8189705307873959,0.0
0.2,0.15000000000000002,0.17500000000000004,0.8228639410334754,0.0
0.2,0.15000000000000002,0.2,0.821876160533961,0.0
0.2,0.2,0.05,0.8165584873484194,0.0
0.2,0.2,0.07500000000000001,0.8277231483422238,0.0
0.2,0.2,0.1,0.8107148797888343,0.0
0.2,0.2,0.125,0.820069901282823,0.0
0.2,0.2,0.15000000000000002,0.815953384429973,0.0
0.2,0.2,0.17500000000000004,0.8319235885411649,0.0
0.2,0.2,0.2,0.8245323858897439,0.0
0.2,0.25,0.05,0.8184081933647062,0.0
0.2,0.25,0.07500000000000001,0.8259604811371105,0.0
0.2,0.25,0.1,0.8330874886396993,0.0
0.2,0.25,0.125,0.812494308582789,0.0
0.2,0.25,0.15000000000000002,0.7919345752838528,0.0
0.2,0.25,0.17500000000000004,0.8095346304939397,0.0
0.2,0.25,0.2,0.8066376175865467,0.0
0.2,0.30000000000000004,0.05,0.8199141297006034,0.0
0.2,0.30000000000000004,0.07500000000000001,0.81651275355912,0.0
0.2,0.30000000000000004,0.1,0.8179493707794591,0.0
0.2,0.30000000000000004,0.125,0.8056430786487758,0.0
0.2,0.30000000000000004,0.15000000000000002,0.8172368526050685,0.0
0.2,0.30000000000000004,0.17500000000000004,0.8524873277236656,0.0
0.2,0.30000000000000004,0.2,0.8472972473741599,0.0
0.2,0.3500000000000001,0.05,0.8232779828233884,0.0
0.2,0.3500000000000001,0.07500000000000001,0.8155978552784912,0.0
0.2,0.3500000000000001,0.1,0.8125511796392311,0.0
0.2,0.3500000000000001,0.125,0.8139347329379614,0.0
0.2,0.3500000000000001,0.15000000000000002,0.7991277278111302,0.0
0.2,0.3500000000000001,0.17500000000000004,0.8332062966489486,0.0
0.2,0.3500000000000001,0.2,0.8085070001839593,0.0
0.2,0.4,0.05,0.7913867963403015,0.0
0.2,0.4,0.07500000000000001,0.8273369121525181,0.0
0.2,0.4,0.1,0.8141250212650707,0.0
0.2,0.4,0.125,0.8349938657329491,0.0
0.2,0.4,0.15000000000000002,0.8204607817494578,0.0
0.2,0.4,0.17500000000000004,0.8249338662664905,0.0
0.2,0.4,0.2,0.7918656406386999,0.0
0.25,0.1,0.05,0.7859719287078749,0.0
0.25,0.1,0.07500000000000001,0.8141424514000942,0.0
0.25,0.1,0.1,0.8096339261736856,0.0
0.25,0.1,0.125,0.812969997520145,0.0
0.25,0.1,0.15000000000000002,0.8023339795749409,0.0
0.25,0.1,0.17500000000000004,0.8048205069641152,0.0
0.25,0.1,0.2,0.7939522864034543,0.0
0.25,0.15000000000000002,0.05,0.8171242964545581,0.0
0.25,0.15000000000000002,0.07500000000000001,0.8132849809977732,0.0
0.25,0.15000000000000002,0.1,0.822681100144813,0.0
0.25,0.15000000000000002,0.125,0.8316542965246495,0.0
0.25,0.15000000000000002,0.15000000000000002,0.7842842152414452,0.0
0.25,0.15000000000000002,0.17500000000000004,0.8044765091788186,0.0
0.25,0.15000000000000002,0.2,0.8084656026339936,0.0
0.25,0.2,0.05,0.8055250264666748,0.0
0.25,0.2,0.07500000000000001,0.8283266917846395,0.0
0.25,0.2,0.1,0.7953005973367663,0.0
0.25,0.2,0.125,0.799459056708888,0.0
0.25,0.2,0.15000000000000002,0.7936885888007345,0.0
0.25,0.2,0.17500000000000004,0.7943322222810262,0.0
0.25,0.2,0.2,0.829554716829322,0.0
0.25,0.25,0.05,0.8299619400457164,0.0
0.25,0.25,0.07500000000000001,0.8158372251747613,0.0
0.25,0.25,0.1,0.8053893080929414,0.0
0.25,0.25,0.125,0.8264476433665914,0.0
0.25,0.25,0.15000000000000002,0.8181961972063826,0.0
0.25,0.25,0.17500000000000004,0.7876052368318142,0.0
0.25,0.25,0.2,0.80724226897869,0.0
